Type,m2_size,floor,maxfloor,metro,distance,district,applicant,price,string
1-к. квартира,42,3,17,Парк Победы ,6–10,nan,Агентство,42000,nan
Квартира-студия,14,2,6,Звенигородская ,5,nan,Агентство,20000,nan
Квартира-студия,20,19,20,Парнас ,11–15,nan,Агентство,23000,nan
Квартира-студия,25,4,18,Приморская ,21–30,nan,Агентство,24000,nan
2-к. квартира,43,12,14,Фрунзенская ,6–10,nan,Агентство,55000,nan
1-к. квартира,33,6,9,Гражданский проспект ,6–10,nan,Агентство,23000,nan
1-к. квартира,35,4,9,Купчино ,16–20,nan,Агентство,20000,nan
1-к. квартира,37.2,9,18,Академическая ,6–10,nan,Агентство,32000,nan
1-к. квартира,45,15,17,Проспект Просвещения ,11–15,nan,Агентство,25000,nan
Квартира-студия,35,3,16,Рыбацкое ,11–15,nan,Агентство,18000,nan
Квартира-студия,23,4,23,Парнас ,16–20,nan,Агентство,22000,nan
1-к. квартира,32,5,13,Площадь Мужества ,31,nan,Агентство,20000,nan
2-к. квартира,50,14,23,Парнас ,21–30,nan,Агентство,30000,nan
1-к. квартира,36,12,15,Приморская ,11–15,nan,Агентство,29000,nan
1-к. квартира,32,9,14,Комендантский проспект ,31,nan,Агентство,28000,nan
Апартаменты-студия,25.2,3,12,Старая деревня ,11–15,nan,Агентство,29000,nan
1-к. квартира,46,16,24,nan,nan,Колпино,Агентство,20000,nan
1-к. квартира,45,3,9,Василеостровская ,16–20,nan,Агентство,42000,nan
1-к. квартира,34,16,24,Московская ,16–20,nan,Агентство,37000,nan
Квартира-студия,25,20,26,Беговая ,21–30,nan,Агентство,25000,nan
1-к. квартира,35,7,14,Проспект Большевиков ,21–30,nan,Агентство,17000,nan
2-к. квартира,89,3,10,Звёздная ,11–15,nan,Агентство,48000,nan
Квартира-студия,24,5,12,Рыбацкое ,21–30,nan,Агентство,20000,nan
Квартира-студия,25,5,11,Старая деревня ,6–10,nan,Агентство,36000,nan
Квартира-студия,26.5,19,24,nan,nan,р-н Приморский,Агентство,21000,nan
1-к. квартира,40,23,24,Улица Дыбенко ,21–30,nan,Агентство,28000,nan
1-к. квартира,40,5,10,nan,nan,пос. Парголово,Агентство,17000,nan
Квартира-студия,26,17,17,Звёздная ,21–30,nan,Агентство,25000,nan
1-к. квартира,35,6,16,Проспект Большевиков ,31,nan,Агентство,20000,nan
2-к. квартира,43,4,10,Площадь А Невского II ,11–15,nan,Агентство,60000,nan
1-к. квартира,40,8,10,Автово ,6–10,nan,Агентство,29000,nan
Квартира-студия,31.8,3,12,Фрунзенская ,6–10,nan,Агентство,35000,nan
3-к. квартира,81.3,9,12,nan,nan,р-н Красносельский,Агентство,30000,nan
1-к. квартира,40,2,17,Ладожская ,31,nan,Агентство,25000,nan
1-к. квартира,33.6,4,12,nan,nan,Колпино,Агентство,18000,nan
2-к. квартира,45,2,16,Московская ,21–30,nan,Агентство,28000,nan
Квартира-студия,28,4,29,Рыбацкое ,21–30,nan,Агентство,17000,nan
Квартира-студия,25,12,23,Звёздная ,16–20,nan,Агентство,28000,nan
Квартира-студия,26,5,22,Звёздная ,11–15,nan,Агентство,27000,nan
2-к. квартира,120,2,6,Чкаловская ,5,nan,Агентство,90000,nan
2-к. квартира,55,1,9,Проспект Большевиков ,31,nan,Агентство,23000,nan
1-к. квартира,40,6,12,Комендантский проспект ,6–10,nan,Агентство,32000,nan
2-к. квартира,55,3,5,Удельная ,6–10,nan,Агентство,28000,nan
1-к. квартира,35.5,5,19,Приморская ,31,nan,Агентство,22000,nan
1-к. квартира,31,8,9,Гражданский проспект ,21–30,nan,Агентство,22000,nan
1-к. квартира,32.1,4,10,nan,nan,р-н Красносельский,Агентство,19000,nan
1-к. квартира,30.9,7,9,Академическая ,11–15,nan,Агентство,27000,nan
Квартира-студия,29,3,8,Площадь Восстания ,16–20,nan,Агентство,50000,nan
Апартаменты-студия,22,10,22,Парнас ,11–15,nan,Агентство,18000,nan
1-к. квартира,37,15,16,Академическая ,21–30,nan,Агентство,25000,nan
1-к. квартира,30,5,5,nan,nan,Пушкин,Агентство,15000,nan
Квартира-студия,24,5,12,nan,nan,пос. Шушары,Агентство,10000,nan
1-к. квартира,40,8,18,Девяткино ,21–30,nan,Агентство,25000,nan
1-к. квартира,29.3,4,9,Проспект Большевиков ,21–30,nan,Агентство,18000,nan
1-к. квартира,29,9,9,nan,nan,р-н Красносельский,Агентство,22000,nan
