Type,m2_size,floor,maxfloor,metro,distance,district,applicant,price,string
Квартира-студия,25,12,14,nan,nan,р-н Приморский,Собственник,24000,nan
Квартира-студия,31.3,10,17,Звёздная ,16–20,nan,Собственник,30000,nan
1-к. квартира,32,1,11,Старая деревня ,6–10,nan,Собственник,35000,nan
Квартира-студия,24,14,16,nan,nan,р-н Красносельский,Собственник,16000,nan
1-к. квартира,55,5,5,Чернышевская ,11–15,nan,Собственник,32000,nan
1-к. квартира,42,6,10,Рыбацкое ,16–20,nan,Собственник,25000,nan
1-к. квартира,42.5,6,12,Площадь Мужества ,11–15,nan,Собственник,23000,nan
Квартира-студия,28,12,27,Парнас ,21–30,nan,Собственник,22000,nan
1-к. квартира,35,19,21,Звёздная ,31,nan,Собственник,25000,nan
2-к. квартира,55,4,7,Ломоносовская ,5,nan,Собственник,34000,nan
2-к. квартира,41.6,5,25,nan,nan,р-н Красногвардейский,Собственник,22000,nan
Квартира-студия,32,11,25,Проспект Ветеранов ,31,nan,Собственник,30000,nan
1-к. квартира,48.3,7,25,Купчино ,5,nan,Собственник,34000,nan
Квартира-студия,23,4,24,Купчино ,31,nan,Собственник,19000,nan
1-к. квартира,45,11,12,Улица Дыбенко ,16–20,nan,Собственник,27000,nan
2-к. квартира,42,5,7,Площадь Мужества ,31,nan,Собственник,30000,nan
Квартира-студия,30,24,27,Парнас ,21–30,nan,Собственник,19000,nan
1-к. квартира,32,5,9,Пионерская ,11–15,nan,Собственник,25000,nan
2-к. квартира,45,1,4,Горьковская ,6–10,nan,Собственник,30000,nan
Квартира-студия,32,14,16,Проспект Просвещения ,6–10,nan,Собственник,30000,nan
Квартира-студия,22.1,12,20,Парнас ,11–15,nan,Собственник,21000,nan
1-к. квартира,36.9,6,8,nan,nan,р-н Красносельский,Собственник,28000,nan
1-к. квартира,39.1,2,18,Улица Дыбенко ,16–20,nan,Собственник,30000,nan
Апартаменты-студия,24.5,10,18,Бухарестская ,5,nan,Собственник,32000,nan
1-к. квартира,32,3,9,Академическая ,11–15,nan,Собственник,25000,nan
Квартира-студия,27,15,25,Беговая ,21–30,nan,Собственник,26000,nan
Квартира-студия,30,9,17,Фрунзенская ,11–15,nan,Собственник,37000,nan
Квартира-студия,25,8,8,nan,nan,р-н Красносельский,Собственник,14000,nan
1-к. квартира,41,19,25,Купчино ,31,nan,Собственник,22000,nan
1-к. квартира,45,3,13,Нарвская ,21–30,nan,Собственник,35000,nan
2-к. квартира,49,23,27,Беговая ,21–30,nan,Собственник,30000,nan
1-к. квартира,35,6,10,Проспект Большевиков ,16–20,nan,Собственник,27000,nan
1-к. квартира,38,3,3,nan,nan,Петергоф,Собственник,20000,nan
1-к. квартира,40,7,12,Беговая ,16–20,nan,Собственник,31000,nan
2-к. квартира,54.6,18,24,Беговая ,21–30,nan,Собственник,36000,nan
1-к. квартира,34.4,7,9,Озерки ,21–30,nan,Собственник,25000,nan
